Number of Cases by Age,Daily ,Community,Federal Prisonin Lompoc,Total(Community & Prison),Date
0 – 17,7,682,0,682,"September 4, 2020"
18 – 29,30,2235,138,2373,"September 4, 2020"
30 – 49,16,2622,543,3165,"September 4, 2020"
50 – 69,8,1389,309,1698,"September 4, 2020"
70+,3,409,33,442,"September 4, 2020"
Age Suppressed,0,0,0,0,"September 4, 2020"
Pending,0,1,0,1,"September 4, 2020"
0 – 17,4,675,0,675,"September 3, 2020"
18 – 29,25,2208,138,2346,"September 3, 2020"
30 – 49,20,2606,543,3149,"September 3, 2020"
50 – 69,13,1381,309,1690,"September 3, 2020"
70+,8,406,33,439,"September 3, 2020"
Age Suppressed,0,0,0,0,"September 3, 2020"
Pending,0,1,0,1,"September 3, 2020"
0 – 17,10,671,0,671,"September 2, 2020"
18 – 29,25,2183,138,2321,"September 2, 2020"
30 – 49,18,2586,542,3128,"September 2, 2020"
50 – 69,7,1368,309,1677,"September 2, 2020"
70+,6,398,33,431,"September 2, 2020"
Age Suppressed,0,0,0,0,"September 2, 2020"
Pending,0,1,0,1,"September 2, 2020"
0 – 17,2,661,0,661,"September 1, 2020"
18 – 29,10,2159,138,2297,"September 1, 2020"
30 – 49,4,2568,542,3110,"September 1, 2020"
50 – 69,4,1361,309,1670,"September 1, 2020"
70+,0,392,33,425,"September 1, 2020"
Age Suppressed,0,0,0,0,"September 1, 2020"
Pending,0,1,0,1,"September 1, 2020"
0 – 17,3,659,0,659,"August 31, 2020"
18 – 29,19,2149,136,2285,"August 31, 2020"
30 – 49,11,2565,541,3106,"August 31, 2020"
50 – 69,12,1357,309,1666,"August 31, 2020"
70+,1,393,33,426,"August 31, 2020"
Age Suppressed,0,0,0,0,"August 31, 2020"
Pending,0,1,0,1,"August 31, 2020"
0 – 17,7,645,0,645,"August 28, 2020"
18 – 29,29,2105,136,2241,"August 28, 2020"
30 – 49,18,2524,541,3065,"August 28, 2020"
50 – 69,9,1330,309,1639,"August 28, 2020"
70+,4,390,33,423,"August 28, 2020"
Age Suppressed,0,0,0,0,"August 28, 2020"
Pending,0,1,0,1,"August 28, 2020"
0 – 17,3,639,0,639,"August 27, 2020"
18 – 29,12,2077,136,2213,"August 27, 2020"
30 – 49,12,2506,541,3047,"August 27, 2020"
50 – 69,5,1321,309,1630,"August 27, 2020"
70+,3,388,33,421,"August 27, 2020"
Age Suppressed,0,0,0,0,"August 27, 2020"
Pending,0,1,0,1,"August 27, 2020"
0 – 17,5,636,0,636,"August 26, 2020"
18 – 29,21,2065,136,2201,"August 26, 2020"
30 – 49,14,2494,541,3035,"August 26, 2020"
