Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,188,179,2,7,"September 18, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1189,1156,20,13,"September 18, 2020"
CITY OF GOLETA,1,246,234,8,4,"September 18, 2020"
COMMUNITY OF ISLA VISTA,2,209,187,21,1,"September 18, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,192,183,8,1,"September 18, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,142,130,7,5,"September 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,793,757,28,8,"September 18, 2020"
FEDERAL PRISON IN LOMPOC,2,1026,1021,2,3,"September 18, 2020"
CITY OF SANTA MARIA,17,3795,3682,52,60,"September 18, 2020"
COMMUNITY OF ORCUTT,0,305,294,8,3,"September 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,388,371,12,5,"September 18, 2020"
Out of County,0,0,0,0,0,"September 18, 2020"
Pending,3,373,362,11,0,"September 18, 2020"
Total**,43,8846,8556,180,110,"September 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,1183,1147,23,13,"September 17, 2020"
CITY OF GOLETA,0,245,232,9,4,"September 17, 2020"
COMMUNITY OF ISLA VISTA,7,207,182,24,1,"September 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,192,181,10,1,"September 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,142,129,8,5,"September 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,785,755,22,8,"September 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1024,1021,0,3,"September 17, 2020"
CITY OF SANTA MARIA,4,3778,3673,46,59,"September 17, 2020"
COMMUNITY OF ORCUTT,0,305,293,9,3,"September 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,385,371,9,5,"September 17, 2020"
Out of County,0,0,0,0,0,"September 17, 2020"
Pending,0,370,359,15,0,"September 17, 2020"
Total**,19,8803,8522,172,109,"September 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,187,179,1,7,"September 16, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,1179,1146,20,13,"September 16, 2020"
CITY OF GOLETA,3,245,232,9,4,"September 16, 2020"
COMMUNITY OF ISLA VISTA,7,200,179,20,1,"September 16, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,192,180,11,1,"September 16, 2020"
