Transmission Method,Total,Date
Community Close Contact Transmission,2811,"September 4, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1023,"September 4, 2020"
Travel Transmission,12,"September 4, 2020"
Community Transmission,1753,"September 4, 2020"
Unknown,2625,"September 4, 2020"
Under Investigation,137,"September 4, 2020"
Community Close Contact Transmission,2785,"September 3, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1023,"September 3, 2020"
Travel Transmission,12,"September 3, 2020"
Community Transmission,1743,"September 3, 2020"
Unknown,2605,"September 3, 2020"
Under Investigation,132,"September 3, 2020"
Community Close Contact Transmission,2757,"September 2, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1022,"September 2, 2020"
Travel Transmission,12,"September 2, 2020"
Community Transmission,1734,"September 2, 2020"
Unknown,2582,"September 2, 2020"
Under Investigation,122,"September 2, 2020"
Community Close Contact Transmission,2731,"September 1, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1022,"September 1, 2020"
Travel Transmission,12,"September 1, 2020"
Community Transmission,1718,"September 1, 2020"
Unknown,2570,"September 1, 2020"
Under Investigation,111,"September 1, 2020"
Community Close Contact Transmission,2721,"August 31, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1019,"August 31, 2020"
Travel Transmission,12,"August 31, 2020"
Community Transmission,1708,"August 31, 2020"
Unknown,2576,"August 31, 2020"
Under Investigation,107,"August 31, 2020"
Community Close Contact Transmission,2676,"August 28, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1019,"August 28, 2020"
Travel Transmission,12,"August 28, 2020"
Community Transmission,16641,"August 28, 2020"
Unknown,2498,"August 28, 2020"
Under Investigation,145,"August 28, 2020"
Community Close Contact Transmission,2653,"August 27, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1019,"August 27, 2020"
Travel Transmission,12,"August 27, 2020"
Community Transmission,1651,"August 27, 2020"
Unknown,2487,"August 27, 2020"
Under Investigation,129,"August 27, 2020"
Community Close Contact Transmission,2627,"August 26, 2020"
Persons Incarcerated at Federal Prison in Lompoc Close Contact,1019,"August 26, 2020"
Travel Transmission,12,"August 26, 2020"
Community Transmission,1639,"August 26, 2020"
